Monitoring Date,Officer ID,Officer Name,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID
6/23/2022,5,Olivia Hall,7,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",792,Soil Quality Test,Description 155,6.9,Equipment 4,371.01,Compliant,1,2385
5/20/2022,23,Xena Perez,22,Waratah Park,"Turton Road, Waratah, NSW 2298",66,Soil Quality Test,Description 130,2.64,Equipment 4,303.59,Non-Compliant,4,4739
7/7/2022,10,Olivia Hall,22,King Edward Park,"Reserve Road, Newcastle, NSW 2300",952,Noise Level Measurement,Description 64,3.38,Equipment 14,174.96,Compliant,3,34
12/16/2022,6,Zoe Ward,22,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",422,Air Quality Check,Description 116,5.51,Equipment 6,71.83,Compliant,4,3652
4/18/2022,14,Catherine Lee,8,King Edward Park,"Reserve Road, Newcastle, NSW 2300",615,Soil Quality Test,Description 153,4.82,Equipment 4,338.33,Compliant,3,899
9/23/2022,4,Olivia Hall,1,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",923,Soil Quality Test,Description 56,1.94,Equipment 15,96.19,Non-Compliant,2,2280
12/11/2022,18,Beth Smith,18,Merewether Beach,"John Parade, Merewether, NSW 2291",122,Soil Quality Test,Description 55,4.26,Equipment 18,288.18,Compliant,3,698
10/13/2022,2,Natalie Walker,16,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",283,Soil Quality Test,Description 34,6.88,Equipment 5,206.73,Compliant,4,56
5/27/2022,17,Alice Johnson,11,Speers Point Park,"Park Road, Speers Point, NSW 2284",685,Air Quality Check,Description 161,3.45,Equipment 7,327.18,Compliant,2,3451
4/8/2022,23,Jane White,15,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",799,Water Quality Test,Description 140,5.18,Equipment 20,338.23,Non-Compliant,3,1094
12/28/2022,9,Diana Taylor,20,Redhead Beach,"Beach Road, Redhead, NSW 2290",164,Noise Level Measurement,Description 25,3.63,Equipment 4,36.52,Non-Compliant,4,350
4/20/2022,9,Samantha Wright,20,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",259,Water Quality Test,Description 117,1.54,Equipment 13,100.58,Compliant,5,2606
12/30/2022,9,Kate Harris,16,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",867,Air Quality Check,Description 78,6.88,Equipment 6,105.01,Compliant,2,2170
12/4/2022,14,Rachel King,10,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",920,Water Quality Test,Description 26,6.79,Equipment 5,361.79,Compliant,4,3890
6/19/2022,12,Paula Young,23,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",789,Water Quality Test,Description 103,2.51,Equipment 11,203.38,Non-Compliant,4,1945
10/30/2022,19,Alice Johnson,8,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",115,Noise Level Measurement,Description 100,3.76,Equipment 18,110.74,Compliant,5,1341
12/16/2022,21,Paula Young,12,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",147,Air Quality Check,Description 36,5.85,Equipment 17,40.95,Non-Compliant,5,4168
6/18/2022,16,Diana Taylor,17,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",629,Air Quality Check,Description 50,7.8,Equipment 1,141.73,Non-Compliant,4,4751
12/28/2022,6,Beth Smith,16,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",651,Noise Level Measurement,Description 16,5.73,Equipment 17,293.61,Non-Compliant,3,2735
4/3/2022,5,Zoe Ward,8,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",321,Noise Level Measurement,Description 34,6.78,Equipment 1,410.45,Compliant,3,4418
1/28/2022,6,Vicky Turner,15,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",327,Air Quality Check,Description 27,3.52,Equipment 18,220.15,Non-Compliant,5,348
10/25/2022,22,Tina Scott,24,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",385,Air Quality Check,Description 162,1.41,Equipment 1,197.31,Non-Compliant,5,977
1/6/2022,2,Alice Johnson,7,Lambton Park,"Morehead Street, Lambton, NSW 2299",804,Air Quality Check,Description 200,6.51,Equipment 16,93.03,Compliant,4,3267
8/3/2022,25,Ella Brown,5,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",513,Soil Quality Test,Description 180,1.08,Equipment 4,308.07,Compliant,2,820
8/4/2022,5,Uma Allen,7,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",825,Noise Level Measurement,Description 63,2.16,Equipment 2,272.09,Non-Compliant,2,4328
6/13/2022,25,Catherine Lee,15,Waratah Park,"Turton Road, Waratah, NSW 2298",528,Noise Level Measurement,Description 177,6.79,Equipment 2,74.5,Non-Compliant,5,1499
6/22/2022,7,Isabella Thompson,16,King Edward Park,"Reserve Road, Newcastle, NSW 2300",307,Soil Quality Test,Description 21,4.6,Equipment 3,445.27,Compliant,3,3620
2/10/2022,22,Kate Harris,1,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",237,Noise Level Measurement,Description 13,7.78,Equipment 13,113.69,Non-Compliant,2,1
2/11/2022,8,Fiona Wilson,15,King Edward Park,"Reserve Road, Newcastle, NSW 2300",477,Noise Level Measurement,Description 35,3.97,Equipment 20,376.74,Non-Compliant,3,3537
2/10/2022,8,Jane White,4,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",137,Water Quality Test,Description 2,4.84,Equipment 13,1.6,Compliant,5,3376
10/17/2022,11,Catherine Lee,19,Merewether Beach,"John Parade, Merewether, NSW 2291",384,Noise Level Measurement,Description 160,2.06,Equipment 17,52.65,Compliant,3,2513
5/30/2022,6,Zoe Ward,16,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",940,Soil Quality Test,Description 108,4,Equipment 1,77.67,Non-Compliant,4,4791
6/24/2022,15,Grace Jones,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",821,Soil Quality Test,Description 50,5.17,Equipment 6,28.86,Compliant,5,2765
1/5/2022,12,Tina Scott,21,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",214,Soil Quality Test,Description 75,3.8,Equipment 16,425.38,Compliant,3,1621
7/20/2022,16,Kate Harris,23,Redhead Beach,"Beach Road, Redhead, NSW 2290",718,Air Quality Check,Description 149,2.89,Equipment 5,470.33,Compliant,3,2004
3/26/2022,16,Paula Young,4,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",984,Air Quality Check,Description 132,3.24,Equipment 12,201.03,Non-Compliant,3,2430
12/5/2022,6,Xena Perez,6,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",508,Air Quality Check,Description 93,2.06,Equipment 7,373.34,Non-Compliant,1,1373
10/23/2022,17,Grace Jones,18,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",656,Soil Quality Test,Description 102,3.61,Equipment 8,367.49,Compliant,2,1217
5/14/2022,13,Hannah Moore,2,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",817,Air Quality Check,Description 75,6.04,Equipment 2,314.09,Compliant,1,46
8/1/2022,10,Hannah Moore,10,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",400,Air Quality Check,Description 121,1.29,Equipment 11,475.28,Compliant,2,122
5/7/2022,20,Uma Allen,20,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",41,Water Quality Test,Description 134,1.94,Equipment 1,31.24,Compliant,1,2554
9/29/2022,25,Paula Young,19,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",643,Water Quality Test,Description 167,1.44,Equipment 2,495.03,Non-Compliant,2,1972
12/7/2022,13,Fiona Wilson,7,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",503,Noise Level Measurement,Description 132,5.76,Equipment 9,168.66,Compliant,5,2295
3/9/2022,18,Laura Clark,19,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",380,Air Quality Check,Description 106,4.67,Equipment 7,394.25,Compliant,4,763
10/6/2022,1,Catherine Lee,4,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",776,Air Quality Check,Description 164,3.84,Equipment 13,119.04,Non-Compliant,1,444
12/7/2022,9,Olivia Hall,11,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",941,Water Quality Test,Description 198,4.67,Equipment 14,219.02,Non-Compliant,1,3389
12/8/2022,21,Olivia Hall,21,Lambton Park,"Morehead Street, Lambton, NSW 2299",595,Water Quality Test,Description 159,2.09,Equipment 18,144.26,Compliant,3,919
9/23/2022,4,Megan Lewis,15,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",742,Soil Quality Test,Description 127,3.28,Equipment 3,364.72,Compliant,1,3470
6/9/2022,7,Beth Smith,23,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",788,Noise Level Measurement,Description 19,2.45,Equipment 17,322.86,Non-Compliant,4,2771
2/15/2022,16,Kate Harris,9,Waratah Park,"Turton Road, Waratah, NSW 2298",968,Noise Level Measurement,Description 153,7.57,Equipment 12,470.04,Compliant,1,4364
3/11/2022,3,Samantha Wright,13,King Edward Park,"Reserve Road, Newcastle, NSW 2300",632,Soil Quality Test,Description 119,6.38,Equipment 3,134.53,Compliant,2,2618
7/21/2022,24,Zoe Ward,14,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",605,Soil Quality Test,Description 34,6.37,Equipment 15,115.97,Non-Compliant,2,3796
7/25/2022,23,Paula Young,7,King Edward Park,"Reserve Road, Newcastle, NSW 2300",602,Air Quality Check,Description 101,1.35,Equipment 20,384.17,Compliant,5,1626
4/11/2022,20,Olivia Hall,24,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",68,Soil Quality Test,Description 78,6.07,Equipment 1,228.32,Compliant,1,312
2/28/2022,25,Wendy Mitchell,15,Merewether Beach,"John Parade, Merewether, NSW 2291",671,Soil Quality Test,Description 66,2.26,Equipment 18,206.02,Non-Compliant,4,3647
2/26/2022,20,Diana Taylor,23,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",50,Soil Quality Test,Description 188,2.65,Equipment 12,313.94,Non-Compliant,2,1564
3/25/2022,3,Zoe Ward,21,Speers Point Park,"Park Road, Speers Point, NSW 2284",348,Noise Level Measurement,Description 126,3.47,Equipment 11,44.79,Non-Compliant,4,3395
10/31/2022,23,Megan Lewis,17,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",358,Noise Level Measurement,Description 129,2.83,Equipment 2,327.09,Compliant,5,2093
12/17/2022,10,Grace Jones,11,Redhead Beach,"Beach Road, Redhead, NSW 2290",444,Noise Level Measurement,Description 89,1.62,Equipment 5,436.72,Non-Compliant,4,1996
9/6/2022,20,Olivia Hall,8,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",70,Water Quality Test,Description 49,5.23,Equipment 19,186.43,Non-Compliant,3,4041
10/6/2022,16,Rachel King,4,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",775,Air Quality Check,Description 135,5.31,Equipment 10,11.43,Non-Compliant,5,825
3/26/2022,18,Beth Smith,11,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",488,Noise Level Measurement,Description 68,3.65,Equipment 1,462.93,Compliant,3,4286
8/10/2022,6,Megan Lewis,15,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",723,Soil Quality Test,Description 80,7.98,Equipment 1,113.28,Non-Compliant,3,1823
7/13/2022,20,Jane White,13,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",10,Water Quality Test,Description 40,1.05,Equipment 3,497.08,Non-Compliant,3,484
2/1/2022,8,Alice Johnson,2,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",906,Soil Quality Test,Description 58,6.09,Equipment 14,329.64,Compliant,5,1436
1/3/2022,24,Jane White,12,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",670,Noise Level Measurement,Description 136,7.3,Equipment 15,242.17,Compliant,5,3265
6/14/2022,20,Grace Jones,12,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",749,Water Quality Test,Description 55,6.36,Equipment 18,444.65,Non-Compliant,2,4347
11/1/2022,19,Kate Harris,10,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",966,Noise Level Measurement,Description 118,4.99,Equipment 4,472.38,Non-Compliant,5,4605
7/20/2022,9,Alice Johnson,4,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",700,Water Quality Test,Description 50,7.71,Equipment 10,370.55,Compliant,3,1142
4/17/2022,15,Vicky Turner,10,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",649,Soil Quality Test,Description 3,3.09,Equipment 5,311.65,Non-Compliant,3,2470
12/9/2022,17,Kate Harris,12,Lambton Park,"Morehead Street, Lambton, NSW 2299",916,Noise Level Measurement,Description 189,7.07,Equipment 17,354.27,Compliant,1,2555
3/3/2022,14,Paula Young,9,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",959,Soil Quality Test,Description 4,6.6,Equipment 6,411.36,Compliant,2,900
9/30/2022,4,Paula Young,12,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",91,Soil Quality Test,Description 83,5.32,Equipment 5,338.78,Non-Compliant,4,2543
5/16/2022,5,Beth Smith,4,Waratah Park,"Turton Road, Waratah, NSW 2298",16,Noise Level Measurement,Description 147,3.32,Equipment 2,264.89,Compliant,4,3826
5/16/2022,2,Zoe Ward,5,King Edward Park,"Reserve Road, Newcastle, NSW 2300",244,Water Quality Test,Description 43,7.52,Equipment 10,401.97,Non-Compliant,2,4886
11/22/2022,14,Paula Young,2,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",241,Air Quality Check,Description 97,5.68,Equipment 9,309.98,Non-Compliant,1,1599
5/30/2022,15,Jane White,16,King Edward Park,"Reserve Road, Newcastle, NSW 2300",423,Air Quality Check,Description 109,6.75,Equipment 4,170.92,Compliant,1,2033
10/9/2022,15,Olivia Hall,2,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",397,Soil Quality Test,Description 130,6.46,Equipment 12,298.18,Non-Compliant,5,3182
2/8/2022,13,Grace Jones,9,Merewether Beach,"John Parade, Merewether, NSW 2291",266,Water Quality Test,Description 147,2.52,Equipment 8,116.22,Non-Compliant,3,5000
11/18/2022,8,Diana Taylor,17,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",738,Water Quality Test,Description 137,1.29,Equipment 6,441.44,Non-Compliant,5,618
8/29/2022,12,Hannah Moore,23,Speers Point Park,"Park Road, Speers Point, NSW 2284",883,Water Quality Test,Description 79,6.57,Equipment 9,90.6,Compliant,3,2165
4/18/2022,14,Catherine Lee,20,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",853,Noise Level Measurement,Description 91,5.37,Equipment 9,281.8,Non-Compliant,2,2009
12/19/2022,12,Catherine Lee,5,Redhead Beach,"Beach Road, Redhead, NSW 2290",876,Air Quality Check,Description 110,4.73,Equipment 16,129.66,Compliant,2,3001
9/6/2022,5,Samantha Wright,17,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",501,Soil Quality Test,Description 160,4.75,Equipment 18,18.85,Non-Compliant,5,353
10/19/2022,3,Paula Young,22,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",622,Water Quality Test,Description 85,7.37,Equipment 5,379.72,Compliant,2,4669
9/30/2022,9,Jane White,1,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",640,Air Quality Check,Description 55,4.12,Equipment 18,390.83,Compliant,2,2609
1/20/2022,4,Uma Allen,1,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",672,Air Quality Check,Description 104,2.03,Equipment 6,377.17,Compliant,2,2722
1/26/2022,8,Vicky Turner,15,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",889,Air Quality Check,Description 15,5.71,Equipment 17,184.34,Non-Compliant,1,95
12/22/2022,18,Diana Taylor,22,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",87,Soil Quality Test,Description 156,3.54,Equipment 13,228.57,Compliant,5,3711
10/7/2022,3,Paula Young,21,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",467,Soil Quality Test,Description 118,6.88,Equipment 17,273.27,Compliant,1,2941
5/12/2022,21,Wendy Mitchell,13,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",686,Water Quality Test,Description 130,6.54,Equipment 16,3.21,Compliant,3,4335
6/15/2022,11,Catherine Lee,19,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",119,Noise Level Measurement,Description 79,4.37,Equipment 19,248.21,Compliant,4,2991
12/2/2022,4,Laura Clark,4,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",849,Noise Level Measurement,Description 118,3.68,Equipment 6,326.53,Compliant,1,1210
1/14/2022,18,Wendy Mitchell,3,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",805,Soil Quality Test,Description 199,5.04,Equipment 15,82.03,Non-Compliant,2,4391
11/26/2022,7,Megan Lewis,22,Lambton Park,"Morehead Street, Lambton, NSW 2299",562,Noise Level Measurement,Description 177,6.9,Equipment 5,65.17,Compliant,2,1523
5/25/2022,9,Hannah Moore,22,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",619,Air Quality Check,Description 145,7.84,Equipment 7,438.16,Non-Compliant,5,923
2/22/2022,14,Fiona Wilson,2,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",471,Noise Level Measurement,Description 156,2.9,Equipment 7,13.45,Compliant,3,2
3/29/2022,4,Jane White,24,Waratah Park,"Turton Road, Waratah, NSW 2298",336,Soil Quality Test,Description 85,5.84,Equipment 9,469.95,Non-Compliant,1,541
9/17/2022,3,Vicky Turner,6,King Edward Park,"Reserve Road, Newcastle, NSW 2300",755,Water Quality Test,Description 102,7.47,Equipment 1,76.53,Non-Compliant,5,3564
11/2/2022,12,Diana Taylor,5,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",692,Air Quality Check,Description 171,1.2,Equipment 13,362.26,Compliant,1,254
12/28/2022,10,Natalie Walker,22,King Edward Park,"Reserve Road, Newcastle, NSW 2300",561,Soil Quality Test,Description 47,2.88,Equipment 6,108.18,Non-Compliant,4,2100
11/12/2022,23,Natalie Walker,8,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",105,Air Quality Check,Description 85,4.69,Equipment 9,413.43,Compliant,3,3696
5/31/2022,6,Zoe Ward,10,Merewether Beach,"John Parade, Merewether, NSW 2291",583,Soil Quality Test,Description 36,5.19,Equipment 5,73.76,Non-Compliant,2,2224
12/2/2022,23,Jane White,16,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",901,Soil Quality Test,Description 31,6.55,Equipment 17,376.46,Compliant,3,2700
1/21/2022,8,Kate Harris,20,Speers Point Park,"Park Road, Speers Point, NSW 2284",955,Water Quality Test,Description 152,3.46,Equipment 1,250.93,Non-Compliant,1,601
7/12/2022,5,Vicky Turner,22,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",420,Noise Level Measurement,Description 127,7.14,Equipment 17,410.34,Compliant,4,2157
12/23/2022,17,Laura Clark,16,Redhead Beach,"Beach Road, Redhead, NSW 2290",402,Air Quality Check,Description 71,2.91,Equipment 2,232.69,Non-Compliant,3,4579
8/25/2022,13,Diana Taylor,14,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",240,Soil Quality Test,Description 83,5.81,Equipment 18,286.2,Compliant,5,3775
2/25/2022,15,Grace Jones,20,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",168,Soil Quality Test,Description 39,2.37,Equipment 7,137.01,Non-Compliant,4,4489
2/2/2022,25,Xena Perez,19,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",624,Soil Quality Test,Description 190,5.04,Equipment 14,437.82,Non-Compliant,3,2819
9/23/2022,5,Olivia Hall,4,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",843,Air Quality Check,Description 168,1.27,Equipment 2,139.22,Compliant,4,3863
4/29/2022,2,Olivia Hall,1,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",63,Soil Quality Test,Description 98,1.52,Equipment 3,187.21,Non-Compliant,4,2001
5/4/2022,10,Megan Lewis,6,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",876,Air Quality Check,Description 184,2.77,Equipment 20,23.25,Non-Compliant,1,3104
7/15/2022,20,Beth Smith,10,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",681,Noise Level Measurement,Description 136,3.92,Equipment 2,433.19,Compliant,2,114
10/14/2022,17,Isabella Thompson,20,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",482,Soil Quality Test,Description 57,2.9,Equipment 4,394.71,Compliant,3,2755
1/27/2022,8,Catherine Lee,3,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",303,Water Quality Test,Description 182,4.82,Equipment 7,25.57,Compliant,3,3658
1/21/2022,14,Rachel King,23,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",798,Noise Level Measurement,Description 169,6.92,Equipment 17,499.51,Non-Compliant,2,3250
3/16/2022,22,Megan Lewis,13,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",441,Soil Quality Test,Description 88,2.7,Equipment 4,99.92,Compliant,2,2531
9/24/2022,3,Ella Brown,4,Lambton Park,"Morehead Street, Lambton, NSW 2299",761,Air Quality Check,Description 7,6.35,Equipment 19,65.62,Compliant,1,4629
5/6/2022,19,Fiona Wilson,17,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",514,Water Quality Test,Description 194,5.8,Equipment 8,122.28,Non-Compliant,4,1214
9/10/2022,15,Ella Brown,15,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",807,Soil Quality Test,Description 133,2.21,Equipment 20,341.27,Compliant,1,1247
5/30/2022,18,Beth Smith,20,Waratah Park,"Turton Road, Waratah, NSW 2298",155,Soil Quality Test,Description 118,1.56,Equipment 15,408.5,Non-Compliant,4,73
1/26/2022,2,Wendy Mitchell,5,King Edward Park,"Reserve Road, Newcastle, NSW 2300",859,Soil Quality Test,Description 103,2.33,Equipment 17,378.3,Non-Compliant,4,4801
4/14/2022,20,Zoe Ward,13,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",440,Air Quality Check,Description 165,1.93,Equipment 18,425.24,Non-Compliant,3,618
9/13/2022,4,Natalie Walker,22,King Edward Park,"Reserve Road, Newcastle, NSW 2300",464,Soil Quality Test,Description 182,6.66,Equipment 12,222.66,Compliant,2,878
1/28/2022,22,Beth Smith,22,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",696,Water Quality Test,Description 127,2.95,Equipment 15,111.87,Compliant,3,2178
1/17/2022,3,Vicky Turner,22,Merewether Beach,"John Parade, Merewether, NSW 2291",960,Noise Level Measurement,Description 29,2.91,Equipment 4,405.09,Non-Compliant,2,771
8/6/2022,25,Laura Clark,12,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",410,Soil Quality Test,Description 180,3.85,Equipment 17,232.2,Non-Compliant,2,2594
5/29/2022,5,Megan Lewis,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",875,Water Quality Test,Description 82,6.56,Equipment 4,9.93,Compliant,3,4476
5/29/2022,5,Samantha Wright,13,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",667,Water Quality Test,Description 150,2.23,Equipment 6,190.15,Non-Compliant,5,55
8/7/2022,20,Catherine Lee,9,Redhead Beach,"Beach Road, Redhead, NSW 2290",567,Air Quality Check,Description 108,3.75,Equipment 12,422.43,Non-Compliant,3,4772
5/18/2022,6,Megan Lewis,4,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",413,Noise Level Measurement,Description 65,6.43,Equipment 17,322.41,Non-Compliant,5,2227
10/15/2022,5,Natalie Walker,16,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",155,Soil Quality Test,Description 24,2.73,Equipment 10,2.62,Non-Compliant,3,2736
6/23/2022,6,Megan Lewis,9,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",320,Noise Level Measurement,Description 60,2.92,Equipment 6,358.2,Non-Compliant,2,2369
9/4/2022,25,Grace Jones,21,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",120,Soil Quality Test,Description 192,1.58,Equipment 1,311.71,Non-Compliant,4,4278
2/3/2022,11,Hannah Moore,17,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",457,Air Quality Check,Description 183,6.73,Equipment 5,436,Non-Compliant,5,4286
7/23/2022,3,Tina Scott,22,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",867,Water Quality Test,Description 16,5.92,Equipment 6,116.2,Compliant,5,4358
7/26/2022,18,Fiona Wilson,18,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",950,Noise Level Measurement,Description 89,4.15,Equipment 12,80.48,Compliant,5,1930
8/28/2022,9,Beth Smith,10,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",962,Air Quality Check,Description 128,2.72,Equipment 14,338.73,Non-Compliant,1,84
10/18/2022,17,Ella Brown,16,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",732,Noise Level Measurement,Description 19,1.7,Equipment 18,424.28,Compliant,1,1304
6/25/2022,17,Xena Perez,15,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",132,Noise Level Measurement,Description 12,1.25,Equipment 19,132.55,Compliant,2,3581
8/26/2022,9,Laura Clark,8,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",693,Air Quality Check,Description 65,4.24,Equipment 3,300.75,Non-Compliant,4,1748
7/16/2022,9,Grace Jones,17,Lambton Park,"Morehead Street, Lambton, NSW 2299",619,Soil Quality Test,Description 192,6.22,Equipment 14,429.2,Compliant,3,2343
12/10/2022,11,Kate Harris,14,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",961,Noise Level Measurement,Description 165,7.71,Equipment 14,308.93,Compliant,4,2444
4/22/2022,11,Jane White,20,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",757,Noise Level Measurement,Description 4,4.67,Equipment 3,270.51,Compliant,1,1894
7/8/2022,6,Paula Young,8,Waratah Park,"Turton Road, Waratah, NSW 2298",539,Water Quality Test,Description 167,1.3,Equipment 14,462.22,Compliant,2,4034
3/24/2022,9,Grace Jones,7,King Edward Park,"Reserve Road, Newcastle, NSW 2300",695,Air Quality Check,Description 51,4.43,Equipment 13,243.59,Compliant,4,1841
11/27/2022,19,Fiona Wilson,20,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",944,Noise Level Measurement,Description 47,4.47,Equipment 20,41.21,Non-Compliant,4,2429
11/3/2022,4,Alice Johnson,20,King Edward Park,"Reserve Road, Newcastle, NSW 2300",189,Soil Quality Test,Description 12,6.8,Equipment 12,311.41,Non-Compliant,3,1023
7/3/2022,6,Tina Scott,13,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",866,Soil Quality Test,Description 167,6.36,Equipment 10,266.59,Compliant,2,1287
12/15/2022,24,Zoe Ward,4,Merewether Beach,"John Parade, Merewether, NSW 2291",131,Soil Quality Test,Description 172,5.23,Equipment 4,295.11,Compliant,5,4349
